,Orderid,Orderdatetime,Saleamount,Newcustomer,Position,Positiondatetime,Groupname,Networkname,Networkid,Brand,Positionname,DaysToConvert
77,11637875,5/1/12 14:18,178.47,Y,0,5/1/12 14:06,SEARCH MSN BRAND,Medifast Brand Terms >  Medifast URL Options >  medfast.com,brand8154msn,Y,ORIGINATOR,0
84,11637887,5/1/12 14:27,264,N,8,4/29/12 17:27,CPM,Accordant,n6899541,N,CONVERTER,2
85,11637887,5/1/12 14:27,264,N,7,4/29/12 17:27,CPM,Accordant,n6899541,N,ASSIST,2
86,11637887,5/1/12 14:27,264,N,6,4/29/12 17:27,CPM,Accordant,n6899541,N,ROSTER,2
87,11637887,5/1/12 14:27,264,N,5,4/29/12 12:36,CPM,Acerno,acerno,N,ROSTER,2
88,11637887,5/1/12 14:27,264,N,4,4/29/12 1:34,CPM,Accordant,n6899541,N,ROSTER,2
89,11637887,5/1/12 14:27,264,N,3,4/29/12 1:17,CPM,Accordant,n6899541,N,ROSTER,2
90,11637887,5/1/12 14:27,264,N,2,4/29/12 0:52,CPM,AOL - February 2011,N9457P1A,N,ROSTER,2
91,11637887,5/1/12 14:27,264,N,1,4/28/12 21:36,CPM,Accordant,n6899541,N,ROSTER,3
92,11637887,5/1/12 14:27,264,N,0,4/28/12 21:10,CPM,Armonix,nar7467,N,ORIGINATOR,3
96,11637911,5/1/12 14:34,162.5,Y,6,5/1/12 14:28,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
97,11637911,5/1/12 14:34,162.5,Y,5,5/1/12 14:27,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ASSIST,0
98,11637911,5/1/12 14:34,162.5,Y,4,5/1/12 14:27,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast Coupons > medifast coupons,g001158,Y,ROSTER,0
99,11637911,5/1/12 14:34,162.5,Y,3,5/1/12 14:25,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ROSTER,0
100,11637911,5/1/12 14:34,162.5,Y,2,5/1/12 13:38,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ROSTER,0
101,11637911,5/1/12 14:34,162.5,Y,1,5/1/12 7:34,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ROSTER,0
102,11637911,5/1/12 14:34,162.5,Y,0,5/1/12 7:08,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,0
103,11637970,5/1/12 15:00,265.99,Y,2,4/30/12 19:39,CPM,Armonix,nar7467,N,CONVERTER,1
104,11637970,5/1/12 15:00,265.99,Y,1,4/29/12 20:50,CPM,Mediawhiz,n62974792,N,ASSIST,2
105,11637970,5/1/12 15:00,265.99,Y,0,4/27/12 3:37,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ORIGINATOR,4
106,11638024,5/1/12 15:32,356.5,Y,7,4/16/12 20:55,CPM,Acerno,acerno,N,CONVERTER,15
107,11638024,5/1/12 15:32,356.5,Y,6,4/16/12 20:55,CPM,Acerno,acerno,N,ASSIST,15
108,11638024,5/1/12 15:32,356.5,Y,5,4/16/12 20:54,CPM,Acerno,acerno,N,ROSTER,15
109,11638024,5/1/12 15:32,356.5,Y,4,4/12/12 4:04,CPM,Mediawhiz,n62974792,N,ROSTER,19
110,11638024,5/1/12 15:32,356.5,Y,3,4/10/12 2:37,CPM,Acerno,acerno,N,ROSTER,21
111,11638024,5/1/12 15:32,356.5,Y,2,4/9/12 23:01,CPM,Acerno,acerno,N,ROSTER,22
112,11638024,5/1/12 15:32,356.5,Y,1,4/9/12 22:46,CPM,Acerno,acerno,N,ROSTER,22
113,11638024,5/1/12 15:32,356.5,Y,0,4/9/12 3:04,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,22
114,11638027,5/1/12 15:20,116.76,N,4,4/18/12 17:44,CPM,Acerno,acerno,N,CONVERTER,13
115,11638027,5/1/12 15:20,116.76,N,3,4/17/12 17:34,CPM,Mediawhiz,n62974792,N,ASSIST,14
116,11638027,5/1/12 15:20,116.76,N,2,4/14/12 20:13,CPM,Mediawhiz,n62974792,N,ROSTER,17
117,11638027,5/1/12 15:20,116.76,N,1,4/14/12 20:09,CPM,Mediawhiz,n62974792,N,ROSTER,17
118,11638027,5/1/12 15:20,116.76,N,0,4/11/12 16:50,SEARCH MSN BRAND,Medifast Brand Terms >  Medifast >  medifast diet,brand8124msn,Y,ORIGINATOR,20
119,11638120,5/1/12 15:52,241.91,N,4,3/28/12 17:35,CPM,Acerno,acerno,N,CONVERTER,33
120,11638120,5/1/12 15:52,241.91,N,3,1/20/12 16:45,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ASSIST,101
121,11638120,5/1/12 15:52,241.91,N,2,1/13/12 19:25,CPM,Acerno,acerno,N,ROSTER,108
122,11638120,5/1/12 15:52,241.91,N,1,1/9/12 16:02,CPM,Armonix,nar7467,N,ROSTER,112
123,11638120,5/1/12 15:52,241.91,N,0,1/3/12 16:44,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ORIGINATOR,118
124,11638133,5/1/12 15:58,330,Y,8,4/30/12 11:33,CPM,Acerno,acerno,N,CONVERTER,1
125,11638133,5/1/12 15:58,330,Y,7,4/30/12 11:33,CPM,Mediawhiz,n62974792,N,ASSIST,1
126,11638133,5/1/12 15:58,330,Y,6,4/30/12 11:33,CPM,Mediawhiz,n62974792,N,ROSTER,1
127,11638133,5/1/12 15:58,330,Y,5,4/27/12 11:37,CPM,24/7 Real Media [old],247,N,ROSTER,4
128,11638133,5/1/12 15:58,330,Y,4,4/27/12 11:37,CPM,Armonix,nar7467,N,ROSTER,4
129,11638133,5/1/12 15:58,330,Y,3,4/27/12 11:37,CPM,Adroll - adr,adr,N,ROSTER,4
130,11638133,5/1/12 15:58,330,Y,2,4/27/12 11:35,CPM,Mediawhiz,n62974792,N,ROSTER,4
131,11638133,5/1/12 15:58,330,Y,1,4/26/12 20:49,CPM,Magnetic,h987mag,N,ROSTER,5
132,11638133,5/1/12 15:58,330,Y,0,4/26/12 12:55,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,5
133,11638145,5/1/12 16:06,341.46,N,1,5/1/12 15:49,CJ,Commission Junction,cj22,N,CONVERTER,0
134,11638145,5/1/12 16:06,341.46,N,0,4/30/12 21:04,CPM,AOL - February 2011,N9457P1A,N,ORIGINATOR,1
135,11638163,5/1/12 16:07,176.96,N,1,4/27/12 15:28,CJ,Commission Junction,cj22,N,CONVERTER,4
136,11638163,5/1/12 16:07,176.96,N,0,4/27/12 15:25,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ORIGINATOR,4
137,11638175,5/1/12 16:11,160.46,N,4,4/19/12 17:31,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,12
138,11638175,5/1/12 16:11,160.46,N,3,4/19/12 17:31,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ASSIST,12
139,11638175,5/1/12 16:11,160.46,N,2,4/19/12 17:04,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ROSTER,12
140,11638175,5/1/12 16:11,160.46,N,1,4/18/12 13:43,CPM,Armonix,nar7467,N,ROSTER,13
141,11638175,5/1/12 16:11,160.46,N,0,4/17/12 23:30,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,14
142,11638235,5/1/12 16:37,318,Y,3,5/1/12 15:43,CPM,Adroll - adr,adr,N,CONVERTER,0
143,11638235,5/1/12 16:37,318,Y,2,3/23/12 3:49,CPM,Acerno,acerno,N,ASSIST,38
144,11638235,5/1/12 16:37,318,Y,1,2/10/12 18:17,TV,MedifastToday.com - TV Spots 60,medtoday2012,NULL,ROSTER,81
145,11638235,5/1/12 16:37,318,Y,0,2/10/12 18:15,TV,MedifastToday.com - TV Spots 60,medtoday2012,NULL,ORIGINATOR,81
146,11638266,5/1/12 16:49,276.88,Y,3,5/1/12 12:07,CPM,Adroll - adr,adr,N,CONVERTER,0
147,11638266,5/1/12 16:49,276.88,Y,2,4/30/12 23:04,CPM,Adroll - adr,adr,N,ASSIST,1
148,11638266,5/1/12 16:49,276.88,Y,1,4/30/12 22:06,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ROSTER,1
149,11638266,5/1/12 16:49,276.88,Y,0,4/30/12 22:01,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,1
150,11638267,5/1/12 16:44,330,N,6,5/1/12 16:22,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
151,11638267,5/1/12 16:44,330,N,5,5/1/12 16:22,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ASSIST,0
152,11638267,5/1/12 16:44,330,N,4,5/1/12 16:11,CJ,Commission Junction,cj22,N,ROSTER,0
153,11638267,5/1/12 16:44,330,N,3,5/1/12 15:50,CJ,Commission Junction,cj22,N,ROSTER,0
154,11638267,5/1/12 16:44,330,N,2,5/1/12 15:48,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ROSTER,0
155,11638267,5/1/12 16:44,330,N,1,5/1/12 15:48,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ROSTER,0
156,11638267,5/1/12 16:44,330,N,0,5/1/12 15:48,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ORIGINATOR,0
157,11638402,5/1/12 17:21,170.62,N,3,4/18/12 17:38,CPM,Armonix,nar7467,N,CONVERTER,13
158,11638402,5/1/12 17:21,170.62,N,2,3/23/12 18:33,CPM,Armonix,nar7467,N,ASSIST,38
159,11638402,5/1/12 17:21,170.62,N,1,3/23/12 18:31,CPM,Armonix,nar7467,N,ROSTER,38
160,11638402,5/1/12 17:21,170.62,N,0,3/23/12 13:51,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ORIGINATOR,38
161,11638412,5/1/12 17:24,180.43,Y,8,4/22/12 12:52,CPM,Acerno,acerno,N,CONVERTER,9
162,11638412,5/1/12 17:24,180.43,Y,7,4/20/12 23:46,CPM,Mediawhiz,n62974792,N,ASSIST,11
163,11638412,5/1/12 17:24,180.43,Y,6,4/20/12 23:41,CPM,Mediawhiz,n62974792,N,ROSTER,11
164,11638412,5/1/12 17:24,180.43,Y,5,4/20/12 23:38,CPM,Mediawhiz,n62974792,N,ROSTER,11
165,11638412,5/1/12 17:24,180.43,Y,4,4/20/12 23:38,CPM,Armonix,nar7467,N,ROSTER,11
166,11638412,5/1/12 17:24,180.43,Y,3,4/13/12 3:48,CPM,24/7 Real Media [old],247,N,ROSTER,18
167,11638412,5/1/12 17:24,180.43,Y,2,4/10/12 3:15,CPM,Armonix,nar7467,N,ROSTER,21
168,11638412,5/1/12 17:24,180.43,Y,1,4/10/12 3:11,CPM,24/7 Real Media [old],247,N,ROSTER,21
169,11638412,5/1/12 17:24,180.43,Y,0,4/9/12 17:37,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ORIGINATOR,22
170,11638413,5/1/12 17:24,93.79,N,1,5/1/12 17:15,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
171,11638413,5/1/12 17:24,93.79,N,0,5/1/12 17:12,SEARCH GOOGLE BRAND,G: Medifast Products > Medifast Shakes > medifast shakes,g001345,Y,ORIGINATOR,0
172,11638445,5/1/12 17:31,195.13,N,5,5/1/12 17:16,CJ,Commission Junction,cj22,N,CONVERTER,0
173,11638445,5/1/12 17:31,195.13,N,4,4/17/12 20:39,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast URL Options > medifast.com,g001200,Y,ASSIST,14
174,11638445,5/1/12 17:31,195.13,N,3,3/29/12 15:46,CPM,Mediawhiz,n62974792,N,ROSTER,32
175,11638445,5/1/12 17:31,195.13,N,2,3/29/12 15:45,CPM,Mediawhiz,n62974792,N,ROSTER,32
176,11638445,5/1/12 17:31,195.13,N,1,3/29/12 15:45,CPM,Mediawhiz,n62974792,N,ROSTER,32
177,11638445,5/1/12 17:31,195.13,N,0,3/26/12 17:23,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,35
178,11638450,5/1/12 17:33,186,Y,8,4/24/12 18:53,CPM,Accordant,n6899541,N,CONVERTER,7
179,11638450,5/1/12 17:33,186,Y,7,4/24/12 18:51,CPM,Mediawhiz,n62974792,N,ASSIST,7
180,11638450,5/1/12 17:33,186,Y,6,4/24/12 18:51,CPM,Mediawhiz,n62974792,N,ROSTER,7
181,11638450,5/1/12 17:33,186,Y,5,4/24/12 18:50,CPM,Mediawhiz,n62974792,N,ROSTER,7
182,11638450,5/1/12 17:33,186,Y,4,4/24/12 18:50,CPM,Armonix,nar7467,N,ROSTER,7
183,11638450,5/1/12 17:33,186,Y,3,4/24/12 18:50,CPM,Armonix,nar7467,N,ROSTER,7
184,11638450,5/1/12 17:33,186,Y,2,4/17/12 16:52,CPM,Mediawhiz,n62974792,N,ROSTER,14
185,11638450,5/1/12 17:33,186,Y,1,4/17/12 15:53,CPM,Mediawhiz,n62974792,N,ROSTER,14
186,11638450,5/1/12 17:33,186,Y,0,4/10/12 14:26,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ORIGINATOR,21
187,11638461,5/1/12 17:42,263.45,Y,6,5/1/12 4:46,CPM,Acerno,acerno,N,CONVERTER,0
188,11638461,5/1/12 17:42,263.45,Y,5,5/1/12 4:45,CPM,Acerno,acerno,N,ASSIST,0
189,11638461,5/1/12 17:42,263.45,Y,4,5/1/12 4:36,CPM,Mediawhiz,n62974792,N,ROSTER,0
190,11638461,5/1/12 17:42,263.45,Y,3,4/30/12 20:42,BUZZ AFFILIATE,ValueClick CPA,vc225,N,ROSTER,1
191,11638461,5/1/12 17:42,263.45,Y,2,4/30/12 20:42,BUZZ AFFILIATE,ValueClick CPA,vc225,N,ROSTER,1
192,11638461,5/1/12 17:42,263.45,Y,1,4/30/12 20:42,BUZZ AFFILIATE,ValueClick CPA,vc225,N,ROSTER,1
193,11638461,5/1/12 17:42,263.45,Y,0,4/28/12 17:13,SEARCH GOOGLE NON-BRAND,G: Competitors > Optifast > ,g000115,N,ORIGINATOR,3
194,11638475,5/1/12 17:42,176.13,Y,1,5/1/12 17:18,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
195,11638475,5/1/12 17:42,176.13,Y,0,5/1/12 17:13,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ORIGINATOR,0
200,11638486,5/1/12 17:42,91.66,N,1,4/30/12 20:32,CPM,Adroll - adr,adr,N,CONVERTER,1
201,11638486,5/1/12 17:42,91.66,N,0,4/30/12 20:19,CPM,Acerno,acerno,N,ORIGINATOR,1
202,11638496,5/1/12 17:50,400.99,N,8,4/24/12 16:17,CPM,Accordant,n6899541,N,CONVERTER,7
203,11638496,5/1/12 17:50,400.99,N,7,4/24/12 16:17,CPM,Accordant,n6899541,N,ASSIST,7
204,11638496,5/1/12 17:50,400.99,N,6,4/23/12 20:19,CPM,Adroll - adr,adr,N,ROSTER,8
205,11638496,5/1/12 17:50,400.99,N,5,3/29/12 21:34,CPM,Adroll - adr,adr,N,ROSTER,32
206,11638496,5/1/12 17:50,400.99,N,4,3/23/12 13:08,CPM,Armonix,nar7467,N,ROSTER,38
207,11638496,5/1/12 17:50,400.99,N,3,3/23/12 13:08,CPM,Mediawhiz,n62974792,N,ROSTER,38
208,11638496,5/1/12 17:50,400.99,N,2,3/18/12 23:27,CPM,Armonix,nar7467,N,ROSTER,43
209,11638496,5/1/12 17:50,400.99,N,1,3/18/12 23:27,CPM,Armonix,nar7467,N,ROSTER,43
210,11638496,5/1/12 17:50,400.99,N,0,1/9/12 14:18,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,112
211,11638508,5/1/12 17:58,355.11,Y,4,5/1/12 17:30,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
212,11638508,5/1/12 17:58,355.11,Y,3,5/1/12 17:29,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,ASSIST,0
213,11638508,5/1/12 17:58,355.11,Y,2,4/19/12 17:21,CPM,Armonix,nar7467,N,ROSTER,12
214,11638508,5/1/12 17:58,355.11,Y,1,4/19/12 17:12,CPM,Armonix,nar7467,N,ROSTER,12
215,11638508,5/1/12 17:58,355.11,Y,0,3/23/12 19:23,SEARCH MSN BRAND,Medifast Brand Terms >  Medifast >  about medifast,brand3357msn,Y,ORIGINATOR,38
216,11638572,5/1/12 18:10,125.57,Y,3,12/29/11 20:49,CPM,Acerno,acerno,N,CONVERTER,122
217,11638572,5/1/12 18:10,125.57,Y,2,12/29/11 20:49,CPM,Acerno,acerno,N,ASSIST,122
218,11638572,5/1/12 18:10,125.57,Y,1,12/12/11 14:27,CPM,Acerno,acerno,N,ROSTER,139
219,11638572,5/1/12 18:10,125.57,Y,0,11/29/11 19:44,SEARCH MSN BRAND,Medifast Brand Terms >  Medifast URL Options >  medifast.com,brand8155msn,Y,ORIGINATOR,152
220,11638593,5/1/12 18:14,291.94,N,7,4/27/12 15:13,CPM,24/7 Real Media [old],247,N,CONVERTER,4
221,11638593,5/1/12 18:14,291.94,N,6,4/16/12 14:41,CPM,Mediawhiz,n62974792,N,ASSIST,15
222,11638593,5/1/12 18:14,291.94,N,5,4/6/12 16:47,CPM,Adroll - adr,adr,N,ROSTER,25
223,11638593,5/1/12 18:14,291.94,N,4,4/6/12 15:45,CPM,Acerno,acerno,N,ROSTER,25
224,11638593,5/1/12 18:14,291.94,N,3,3/21/12 14:59,CPM,24/7 Real Media [old],247,N,ROSTER,40
225,11638593,5/1/12 18:14,291.94,N,2,3/19/12 17:02,CPM,AOL - February 2011,N9457P1A,N,ROSTER,42
226,11638593,5/1/12 18:14,291.94,N,1,2/14/12 15:33,OTHER,MedifastHealth.com - Portal,medifasthealth,Y,ROSTER,77
227,11638593,5/1/12 18:14,291.94,N,0,1/9/12 14:02,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ORIGINATOR,112
228,11638611,5/1/12 18:24,310.11,Y,1,5/1/12 18:00,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
229,11638611,5/1/12 18:24,310.11,Y,0,5/1/12 17:56,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast Coupons > medifast coupons,g001158,Y,ORIGINATOR,0
234,11638644,5/1/12 18:34,351.45,Y,4,5/1/12 0:53,CPM,Acerno,acerno,N,CONVERTER,0
235,11638644,5/1/12 18:34,351.45,Y,3,5/1/12 0:53,CPM,Armonix,nar7467,N,ASSIST,0
236,11638644,5/1/12 18:34,351.45,Y,2,5/1/12 0:43,BUZZ AFFILIATE,ValueClick CPA,vc225,N,ROSTER,0
237,11638644,5/1/12 18:34,351.45,Y,1,5/1/12 0:36,CPM,Adroll - adr,adr,N,ROSTER,0
238,11638644,5/1/12 18:34,351.45,Y,0,4/30/12 16:24,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ORIGINATOR,1
239,11638685,5/1/12 18:44,161.37,Y,1,4/30/12 18:52,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,1
240,11638685,5/1/12 18:44,161.37,Y,0,4/30/12 18:52,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast Coupons > medifast coupons,g001158,Y,ORIGINATOR,1
241,11638778,5/1/12 19:22,330,Y,2,5/1/12 18:43,BUZZ AFFILIATE,Buzz CPA Affiliate,buzz23,N,CONVERTER,0
242,11638778,5/1/12 19:22,330,Y,1,4/19/12 23:28,CJ,Commission Junction,cj22,N,ASSIST,12
243,11638778,5/1/12 19:22,330,Y,0,4/19/12 23:27,CJ,Commission Junction,cj22,N,ORIGINATOR,12
244,11638818,5/1/12 19:19,326.61,Y,8,5/1/12 19:14,SEARCH GOOGLE NON-BRAND,Google:  Competitors > Optifast > Optifast,3052,N,CONVERTER,0
245,11638818,5/1/12 19:19,326.61,Y,7,5/1/12 19:06,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ASSIST,0
246,11638818,5/1/12 19:19,326.61,Y,6,5/1/12 18:53,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000793,Y,ROSTER,0
247,11638818,5/1/12 19:19,326.61,Y,5,4/24/12 17:13,CPM,Adroll - adr,adr,N,ROSTER,7
248,11638818,5/1/12 19:19,326.61,Y,4,4/24/12 17:12,CPM,Adroll - adr,adr,N,ROSTER,7
249,11638818,5/1/12 19:19,326.61,Y,3,4/24/12 17:12,CPM,Adroll - adr,adr,N,ROSTER,7
250,11638818,5/1/12 19:19,326.61,Y,2,4/19/12 12:20,CPM,Mediawhiz,n62974792,N,ROSTER,12
251,11638818,5/1/12 19:19,326.61,Y,1,4/17/12 15:42,CPM,Adroll - adr,adr,N,ROSTER,14
252,11638818,5/1/12 19:19,326.61,Y,0,4/13/12 18:53,SEARCH GOOGLE BRAND,G: Medifast Brand Terms > Medifast > ,g000791,Y,ORIGINATOR,18
253,11638828,5/1/12 19:24,274.71,Y,2,5/1/12 19:12,CJ,Commission Junction,cj22,N,CONVERTER,0
254,11638828,5/1/12 19:24,274.71,Y,1,5/1/12 19:08,CJ,Commission Junction,cj22,N,ASSIST,0
255,11638828,5/1/12 19:24,274.71,Y,0,5/1/12 19:01,BUZZ AFFILIATE,ValueClick CPA,vc225,N,ORIGINATOR,0
